,,,,2016,,,,,,2012,,,,,,2008,,,,
CD,Incumbent,Party,,Clinton,Trump,Total,Clinton%,Trump%,,Obama,Romney,Total,Obama%,Romney%,,Obama,McCain,Total,Obama%,McCain%
AK-AL,"Young, Don",(R),,"116,454","163,387","309,407",37.6%,52.8%,,"122,640","164,676","297,625",41.2%,55.3%,,"123,594","193,841","324,467",38.1%,59.7%
AL-01,"Byrne, Bradley",(R),,"103,364","192,634","303,478",34.1%,63.5%,,"111,735","184,786","298,837",37.4%,61.8%,,"115,975","183,753","301,556",38.5%,60.9%
AL-02,"Roby, Martha",(R),,"94,299","185,505","285,664",33.0%,64.9%,,"105,572","182,287","289,864",36.4%,62.9%,,"101,076","186,164","288,807",35.0%,64.5%
AL-03,"Rogers, Mike",(R),,"93,300","188,477","288,776",32.3%,65.3%,,"103,089","174,465","280,128",36.8%,62.3%,,"103,221","176,434","281,951",36.6%,62.6%
AL-04,"Aderholt, Rob",(R),,"50,722","233,661","290,726",17.4%,80.4%,,"65,818","205,423","274,505",24.0%,74.8%,,"71,095","204,123","278,483",25.5%,73.3%
AL-05,"Brooks, Mo",(R),,"97,159","200,571","309,937",31.3%,64.7%,,"103,598","189,860","297,263",34.9%,63.9%,,"107,005","184,225","294,444",36.3%,62.6%
AL-06,"Palmer, Gary",(R),,"86,116","233,493","329,849",26.1%,70.8%,,"77,517","233,566","314,343",24.7%,74.3%,,"78,559","232,644","313,838",25.0%,74.1%
AL-07,"Sewell, Terri",(D),,"204,586","83,915","293,231",69.8%,28.6%,,"228,276","85,488","315,244",72.4%,27.1%,,"225,642","88,803","315,625",71.5%,28.1%
AR-01,"Crawford, Rick",(R),,"78,688","169,438","260,717",30.2%,65.0%,,"92,086","154,549","253,460",36.3%,61.0%,,"102,670","151,918","262,118",39.2%,58.0%
AR-02,"Hill, French",(R),,"127,883","160,782","306,974",41.7%,52.4%,,"125,527","160,140","292,515",42.9%,54.7%,,"129,888","157,732","293,250",44.3%,53.8%
AR-03,"Womack, Steve",(R),,"89,081","180,921","292,163",30.5%,61.9%,,"81,413","168,703","257,668",31.6%,65.5%,,"85,866","161,902","253,566",33.9%,63.9%
AR-04,"Westerman, Bruce",(R),,"84,842","173,731","270,781",31.3%,64.2%,,"95,383","164,352","265,825",35.9%,61.8%,,"103,886","166,465","277,684",37.4%,59.9%
AZ-01,"O'Halleran, Tom",(D),,"132,874","135,928","284,973",46.6%,47.7%,,"124,550","131,115","260,056",47.9%,50.4%,,"123,079","131,208","257,294",47.8%,51.0%
AZ-02,"McSally, Martha",(R),,"156,676","141,196","315,839",49.6%,44.7%,,"144,966","149,651","299,691",48.4%,49.9%,,"150,877","153,747","308,531",48.9%,49.8%
AZ-03,"Grijalva, Raul",(D),,"130,466","67,952","208,934",62.4%,32.5%,,"108,902","65,482","177,248",61.4%,36.9%,,"102,818","71,980","176,761",58.2%,40.7%
AZ-04,"Gosar, Paul",(R),,"82,192","202,043","298,483",27.5%,67.7%,,"80,035","173,394","258,046",31.0%,67.2%,,"86,346","161,163","251,086",34.4%,64.2%
AZ-05,"Biggs, Andy",(R),,"121,280","191,432","332,093",36.5%,57.6%,,"101,511","187,304","293,748",34.6%,63.8%,,"104,014","179,566","286,711",36.3%,62.6%
AZ-06,"Schweikert, David",(R),,"143,571","177,332","338,331",42.4%,52.4%,,"121,661","186,537","313,417",38.8%,59.5%,,"130,426","182,747","316,599",41.2%,57.7%
AZ-07,"Gallego, Ruben",(D),,"117,958","37,232","164,399",71.8%,22.6%,,"101,028","37,353","140,907",71.7%,26.5%,,"85,991","45,289","132,868",64.7%,34.1%
AZ-08,"Lesko, Debbie",(R),,"120,992","190,163","327,325",37.0%,58.1%,,"107,335","179,555","291,126",36.9%,61.7%,,"110,610","174,516","288,189",38.4%,60.6%
AZ-09,"Sinema, Kyrsten",(D),,"155,158","109,123","283,863",54.7%,38.4%,,"135,244","123,263","264,563",51.1%,46.6%,,"140,546","129,894","274,042",51.3%,47.4%
CA-01,"LaMalfa, Doug",(R),,"114,727","176,358","313,968",36.5%,56.2%,,"122,379","171,902","303,928",40.3%,56.6%,,,,,,
CA-02,"Huffman, Jared",(D),,"238,157","80,545","344,971",69.0%,23.3%,,"230,212","89,908","333,442",69.0%,27.0%,,,,,,
CA-03,"Garamendi, John",(D),,"138,882","105,860","262,086",53.0%,40.4%,,"131,237","104,145","241,687",54.3%,43.1%,,,,,,
CA-04,"McClintock, Tom",(R),,"138,790","190,924","353,388",39.3%,54.0%,,"133,473","195,386","337,634",39.5%,57.9%,,,,,,
CA-05,"Thompson, Mike",(D),,"210,950","74,088","305,052",69.2%,24.3%,,"199,924","78,703","286,658",69.7%,27.5%,,,,,,
CA-06,"Matsui, Doris",(D),,"168,687","59,549","243,910",69.2%,24.4%,,"156,141","63,862","225,831",69.1%,28.3%,,,,,,
CA-07,"Bera, Ami",(D),,"159,066","124,249","304,118",52.3%,40.9%,,"145,147","133,888","285,997",50.8%,46.8%,,,,,,
CA-08,"Cook, Paul",(R),,"92,234","127,464","232,835",39.6%,54.7%,,"88,579","118,278","212,633",41.7%,55.6%,,,,,,
CA-09,"McNerney, Jerry",(D),,"134,719","90,484","238,191",56.6%,38.0%,,"127,418","88,403","220,312",57.8%,40.1%,,,,,,
CA-10,"Denham, Jeff",(R),,"116,335","109,145","239,680",48.5%,45.5%,,"108,923","101,160","215,113",50.6%,47.0%,,,,,,
CA-11,"DeSaulnier, Mark",(D),,"223,559","70,869","312,568",71.5%,22.7%,,"203,699","90,226","301,134",67.6%,30.0%,,,,,,
CA-12,"Pelosi, Nancy",(D),,"309,221","31,158","358,774",86.2%,8.7%,,"269,461","40,003","320,387",84.1%,12.5%,,,,,,
CA-13,"Lee, Barbara",(D),,"291,926","22,743","334,194",87.4%,6.8%,,"268,093","27,474","306,314",87.5%,9.0%,,,,,,
CA-14,"Speier, Jackie",(D),,"229,008","54,229","297,743",76.9%,18.2%,,"200,343","63,589","269,882",74.2%,23.6%,,,,,,
